valid_time,pressure_level,latitude,longitude,surface_wind,low-level_wind,jet_stream,atmos_stability1,atmos_stability2,thermal_wind_y_grad,thermal_wind_x_grad
1987-05-28,0,43.7,-79.65,5.1552677,9.893764,9.707827,0.0004363891196613314,0.003844647669915419,5.08599014853049,1.7663049403802904
1987-05-29,0,43.7,-79.65,4.2922344,9.631962,12.071815,0.00043197463767210306,0.003698014652156928,2.557735065211379,0.9253980033640508
1987-05-30,0,43.7,-79.65,4.9285636,13.914037,13.527145,0.0004684359825434781,0.0034844626838818316,3.0862084939897176,0.25005340750441973
1987-05-31,0,43.7,-79.65,5.028662,10.073686,12.527283,0.0019741123720730253,0.0036364429885989385,1.7154336490759192,0.12471127588042985
1987-06-01,0,43.7,-79.65,5.2355447,10.887839,13.443441,0.0006701942162908399,0.004004277627788587,2.0802468366031257,0.5620949024534402
1987-06-02,0,43.7,-79.65,3.8064733,9.039512,8.516182,0.002605221171123785,0.0038248458570649645,0.2371354029655944,0.6948215032901831
1987-06-03,0,43.7,-79.65,4.7207036,16.318245,16.734589,0.003924929531284441,0.003986836060415296,2.2536145804344354,2.144438893636773
1987-06-04,0,43.7,-79.65,4.2834454,8.644608,19.297146,0.0006241706588814521,0.003909424361465883,2.0795441729623376,2.0431013671254488
1987-06-05,0,43.7,-79.65,3.696225,13.023707,23.858528,0.0017741573677778808,0.0038745087112452403,0.842668036981988,-0.3053341364321796
1987-06-06,0,43.7,-79.65,4.5523014,8.633322,32.76181,0.0010613658532632147,0.004388769400653577,-0.6682463531289169,0.7936185291644161
1987-06-07,0,43.7,-79.65,4.5887856,16.13814,20.86983,0.0009639094765699308,0.00325279475781578,4.719495361685012,4.93409449995488
1987-06-08,0,43.7,-79.65,7.0888705,24.712463,26.412584,0.003270804526714452,0.003121306258373419,5.05003931695254,2.512908828867717
1987-06-09,0,43.7,-79.65,4.980309,17.913353,27.59633,0.004610698268068479,0.0034637775442157934,3.6817731796319015,-0.1554932714417491
1987-06-10,0,43.7,-79.65,3.3378959,4.1353035,23.539064,0.0003714291676902972,0.004629752430870749,-0.5951195947749185,1.1470709628324354
1987-06-11,0,43.7,-79.65,3.6304085,14.457348,18.396526,0.0025216861082576906,0.0052022426303338426,-0.513107615933676,0.037334019617483866
1987-06-12,0,43.7,-79.65,6.2903323,23.375498,18.232098,0.00098095939127347,0.004041056044885447,5.744881983145958,3.0475979622605682
1987-06-13,0,43.7,-79.65,2.0774913,13.737273,15.536309,0.002300409746796807,0.003355677643238999,4.284466309646672,2.043078356279761
1987-06-14,0,43.7,-79.65,5.6525407,16.827814,19.12725,0.0010377267159915762,0.003310636453847178,5.051681920445328,3.5068291454744993
1987-06-15,0,43.7,-79.65,4.691816,16.632172,20.908903,0.0019658759632586544,0.004162060889758535,4.774888603498604,3.25969199920926
1987-06-16,0,43.7,-79.65,5.6046724,11.215714,21.39566,0.0008503659268201617,0.004588185423961787,3.3947624821223146,1.546252704654707
1987-06-17,0,43.7,-79.65,2.9279242,3.766208,19.159145,0.001608280769337197,0.0054207763451687326,0.4892146528167323,1.1311635133910574
1987-06-18,0,43.7,-79.65,2.715302,5.0691013,9.428852,0.0039229594913502185,0.004658506936515454,-1.2820745040012205,-0.6118889088843373
1987-06-19,0,43.7,-79.65,3.7241225,6.2084684,17.010597,0.0012939747469364199,0.004060054653530954,4.519246333802852,1.031196242293435
1987-06-20,0,43.7,-79.65,1.9422967,4.970586,10.089551,0.002642758889897845,0.0038383794133462915,3.47658922526764,0.9085541957615756
1987-06-21,0,43.7,-79.65,2.019953,3.1980624,7.3725276,0.004028580250406989,0.004460711308450756,-1.9161223277115833,-1.3413842575523753
1987-06-22,0,43.7,-79.65,0.81489074,5.7028074,7.759074,0.004112741975430285,0.004939537311695139,-1.5684080880319429,-0.286564687854426
1987-06-23,0,43.7,-79.65,1.4052726,4.3655043,7.688912,0.001345660696597703,0.004305078469188061,-0.7809818012930496,1.2025050103510544
1987-06-24,0,43.7,-79.65,2.6213083,3.9688973,4.954898,0.0007868425864501488,0.004209455944001709,-0.0664553232168011,1.0352259509769364
